id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_106,332,32,"[5, 5, 5, 13, 11, 7, 13, 13, 15, 15, 15, 15, 15, 5, 13, 11, 13, 13, 13, 14, 13, 5, 13, 5, 11, 13, 17, 5, 5, 6, 5, 5]",17,"[P(4.380863189697266, 9.659050941467285), P(4.380863189697266, 9.659050941467285), P(19.428573608398438, 9.659050941467285), P(13.40626335144043, 10.585001945495605), P(15.765623092651367, 10.585001945495605), P(8.763607025146484, 10.617524147033691), P(10.510952949523926, 10.617524147033691), P(17.012229919433594, 10.617524147033691), P(10.850423812866211, 13.8582181930542), P(11.61107349395752, 13.858487129211426), P(14.263136863708496, 13.858487129211426), P(16.906599044799805, 13.858487129211426), P(18.532726287841797, 13.858487129211426), P(9.468351364135742, 13.858755111694336), P(8.774895668029785, 13.865474700927734), P(9.850558280944824, 13.865474700927734), P(11.949738502502441, 13.865474700927734), P(12.400753021240234, 13.865474700927734), P(13.600860595703125, 13.865474700927734), P(14.598037719726562, 13.865474700927734), P(15.090445518493652, 13.865474700927734), P(15.541997909545898, 13.865474700927734), P(15.84249496459961, 13.865474700927734), P(16.394033432006836, 13.865474700927734), P(17.241500854492188, 13.865474700927734), P(17.770193099975586, 13.865474700927734), P(12.885634422302246, 13.86547565460205), P(10.846660614013672, 13.91116714477539), P(9.468351364135742, 13.924338340759277), P(14.684048652648926, 13.931326866149902), P(10.209381103515625, 14.109259605407715), P(10.817094802856445, 14.118666648864746)]"
logo_108,340,30,"[3, 5, 13, 11, 7, 13, 13, 5, 5, 15, 15, 15, 15, 11, 13, 17, 13, 13, 13, 5, 13, 5, 11, 13, 13, 13, 5, 6, 13, 28]",28,"[P(7.822336196899414, 10.996371269226074), P(5.2412309646606445, 11.378578186035156), P(13.880929946899414, 11.430721282958984), P(16.496707916259766, 11.430990219116211), P(8.690767288208008, 11.46405029296875), P(10.720333099365234, 11.46405029296875), P(17.981992721557617, 11.46405029296875), P(5.719392776489258, 11.85673999786377), P(9.538772583007812, 13.855396270751953), P(11.547104835510254, 13.855396270751953), P(14.555570602416992, 13.855396270751953), P(17.622364044189453, 13.855396270751953), P(19.463245391845703, 13.855396270751953), P(9.98279857635498, 13.863727569580078), P(11.933073997497559, 13.863727569580078), P(13.007660865783691, 13.863727569580078), P(13.799489974975586, 13.863727569580078), P(14.941539764404297, 13.863727569580078), P(15.512432098388672, 13.863727569580078), P(16.03252410888672, 13.863727569580078), P(16.39618492126465, 13.863727569580078), P(17.020294189453125, 13.863727569580078), P(18.003225326538086, 13.863727569580078), P(18.60260772705078, 13.863727569580078), P(8.75151252746582, 13.863728523254395), P(12.452628135681152, 13.863728523254395), P(9.538772583007812, 13.936836242675781), P(15.050666809082031, 13.945169448852539), P(10.731353759765625, 13.996236801147461), P(4.380863189697266, 14.291627883911133)]"
logo_109,371,32,"[4, 5, 5, 5, 15, 17, 7, 13, 13, 5, 19, 19, 19, 19, 8, 11, 13, 13, 13, 13, 13, 13, 20, 5, 15, 5, 15, 15, 8, 8, 13, 5]",20,"[P(8.003763198852539, 8.280339241027832), P(8.577879905700684, 9.524526596069336), P(7.333423137664795, 10.959817886352539), P(7.614030838012695, 12.491063117980957), P(17.184518814086914, 12.710658073425293), P(15.062490463256836, 12.710926055908203), P(10.86547565460205, 12.743717193603516), P(12.547508239746094, 12.743717193603516), P(18.256149291992188, 12.743717193603516), P(6.85633659362793, 13.448192596435547), P(13.41970157623291, 15.18237018585205), P(15.747346878051758, 15.18237018585205), P(18.048381805419922, 15.18237018585205), P(19.45545196533203, 15.18237018585205), P(11.560543060302734, 15.183175086975098), P(11.8841552734375, 15.1890869140625), P(13.72073745727539, 15.1890869140625), P(15.18559455871582, 15.1890869140625), P(16.048917770385742, 15.1890869140625), P(16.49052619934082, 15.1890869140625), P(10.938045501708984, 15.189088821411133), P(14.119876861572266, 15.189088821411133), P(14.546701431274414, 15.189088821411133), P(16.889129638671875, 15.189088821411133), P(17.24714469909668, 15.189088821411133), P(17.621557235717773, 15.189088821411133), P(18.43408203125, 15.189088821411133), P(18.917888641357422, 15.189088821411133), P(11.559198379516602, 15.249295234680176), P(16.13197135925293, 15.257627487182617), P(12.761994361877441, 15.260852813720703), P(12.227120399475098, 15.409757614135742)]"
logo_11,122,13,"[12, 14, 9, 6, 6, 18, 9, 11, 16, 4, 6, 6, 5]",18,"[P(6.094342231750488, 10.234107971191406), P(11.927967071533203, 11.164360046386719), P(13.939793586730957, 11.357613563537598), P(6.282220363616943, 11.683913230895996), P(14.366079330444336, 11.683913230895996), P(16.92084503173828, 11.937105178833008), P(8.813600540161133, 11.937374114990234), P(10.81198787689209, 11.937374114990234), P(18.219863891601562, 11.983604431152344), P(8.813600540161133, 12.223626136779785), P(6.275231838226318, 12.66308307647705), P(14.359090805053711, 12.66308307647705), P(17.007661819458008, 12.856605529785156)]"
logo_110,375,34,"[4, 4, 4, 4, 4, 17, 15, 7, 13, 13, 4, 19, 19, 19, 19, 8, 20, 15, 13, 11, 13, 13, 13, 13, 13, 5, 15, 5, 15, 8, 8, 13, 5, 4]",20,"[P(14.592241287231445, 7.59844446182251), P(11.845624923706055, 7.727165222167969), P(16.329200744628906, 7.962242603302002), P(8.679948806762695, 7.975009918212891), P(8.25209903717041, 9.54215145111084), P(14.199307441711426, 10.62593936920166), P(16.74626922607422, 10.625993728637695), P(9.151742935180664, 10.658865928649902), P(11.260456085205078, 10.658865928649902), P(18.24691390991211, 10.658865928649902), P(6.2245049476623535, 11.70069694519043), P(12.14284610748291, 13.184191703796387), P(14.91623306274414, 13.184191703796387), P(17.742813110351562, 13.184191703796387), P(19.417329788208008, 13.184191703796387), P(9.939627647399902, 13.185428619384766), P(13.532562255859375, 13.190937995910645), P(18.127817153930664, 13.19096565246582), P(9.225255966186523, 13.19099235534668), P(10.58349895477295, 13.19099235534668), P(12.775534629821777, 13.19099235534668), P(13.016929626464844, 13.19099235534668), P(14.508864402770996, 13.19099235534668), P(15.30373764038086, 13.19099235534668), P(16.07942008972168, 13.19099235534668), P(16.32081413269043, 13.19099235534668), P(16.765918731689453, 13.19099235534668), P(17.22774314880371, 13.19099235534668), P(18.789588928222656, 13.19099235534668), P(9.93839168548584, 13.252328872680664), P(15.388511657714844, 13.26036548614502), P(11.39871883392334, 13.26407527923584), P(10.779684066772461, 13.415776252746582), P(6.931485652923584, 14.214922904968262)]"
logo_111,333,34,"[4, 4, 4, 4, 4, 13, 11, 7, 13, 13, 4, 15, 15, 15, 15, 5, 13, 11, 13, 13, 17, 13, 14, 13, 5, 13, 5, 11, 13, 5, 6, 13, 5, 4]",17,"[P(14.707630157470703, 7.584682941436768), P(11.953863143920898, 7.701307773590088), P(16.347745895385742, 7.938455581665039), P(8.678630828857422, 7.981326580047607), P(8.249706268310547, 9.53817367553711), P(14.120769500732422, 10.671337127685547), P(16.624942779541016, 10.671337127685547), P(9.150938034057617, 10.704290390014648), P(11.075748443603516, 10.704290390014648), P(18.005950927734375, 10.704290390014648), P(6.216844081878662, 11.702363014221191), P(12.15260124206543, 13.199432373046875), P(14.954668998718262, 13.199432373046875), P(17.767675399780273, 13.199432373046875), P(19.48434066772461, 13.199432373046875), P(9.926458358764648, 13.199459075927734), P(9.200016975402832, 13.206313133239746), P(10.336030006408691, 13.206313133239746), P(12.517637252807617, 13.206313133239746), P(12.99698543548584, 13.206313133239746), P(13.511248588562012, 13.206313133239746), P(14.259675979614258, 13.206313133239746), P(15.315536499023438, 13.206313133239746), P(15.837380409240723, 13.206313133239746), P(16.317399978637695, 13.206313133239746), P(16.643352508544922, 13.206313133239746), P(17.22537612915039, 13.206313133239746), P(18.128570556640625, 13.206313133239746), P(18.68731689453125, 13.206313133239746), P(9.926458358764648, 13.2666015625), P(15.40318775177002, 13.273401260375977), P(11.390493392944336, 13.337748527526855), P(10.768098831176758, 13.454830169677734), P(6.925652980804443, 14.22309398651123)]"
logo_113,607,32,"[38, 20, 13, 19, 12, 15, 21, 4, 13, 9, 37, 5, 20, 20, 20, 20, 37, 25, 25, 21, 19, 22, 21, 22, 18, 22, 21, 21, 15, 5, 6, 21]",38,"[P(6.763361930847168, 9.621092796325684), P(18.64603042602539, 10.676175117492676), P(10.173039436340332, 10.811910629272461), P(14.938676834106445, 11.41761302947998), P(12.881381034851074, 11.417640686035156), P(17.02387046813965, 11.417640686035156), P(4.970630645751953, 11.651778221130371), P(12.857003211975098, 11.741390228271484), P(8.306689262390137, 12.405311584472656), P(5.188963413238525, 12.439178466796875), P(5.333380699157715, 13.617659568786621), P(10.872413635253906, 13.711034774780273), P(12.551584243774414, 13.711034774780273), P(15.142332077026367, 13.711034774780273), P(17.773937225341797, 13.711034774780273), P(19.37569808959961, 13.711034774780273), P(13.879427909851074, 13.717646598815918), P(16.71253776550293, 13.725118637084961), P(18.647294998168945, 13.725118637084961), P(10.164815902709961, 13.725172996520996), P(11.232878684997559, 13.725172996520996), P(12.869635581970215, 13.725172996520996), P(13.30256462097168, 13.725172996520996), P(14.53211498260498, 13.725172996520996), P(15.462911605834961, 13.725172996520996), P(15.94827938079834, 13.725172996520996), P(16.344573974609375, 13.725172996520996), P(17.22698974609375, 13.725172996520996), P(18.090267181396484, 13.725172996520996), P(10.872413635253906, 13.798442840576172), P(15.557818412780762, 13.812581062316895), P(11.880566596984863, 13.89251708984375)]"
logo_112,533,32,"[6, 17, 20, 11, 13, 12, 15, 19, 4, 5, 5, 20, 20, 20, 20, 5, 37, 21, 19, 22, 21, 22, 18, 22, 25, 15, 25, 21, 21, 5, 6, 21]",37,"[P(7.152237415313721, 9.72591781616211), P(5.767519950866699, 10.372099876403809), P(18.678367614746094, 10.74925708770752), P(5.641513824462891, 10.84268569946289), P(10.458406448364258, 10.880987167358398), P(13.085819244384766, 11.46860122680664), P(17.1046142578125, 11.468602180480957), P(15.081722259521484, 11.468655586242676), P(13.062165260314941, 11.782674789428711), P(7.93695068359375, 12.58768081665039), P(11.136816024780273, 13.693509101867676), P(12.76583194732666, 13.693536758422852), P(15.279251098632812, 13.693536758422852), P(17.832210540771484, 13.693536758422852), P(19.386180877685547, 13.693536758422852), P(4.844356060028076, 13.6954984664917), P(14.054056167602539, 13.699933052062988), P(10.450370788574219, 13.7072172164917), P(11.486530303955078, 13.7072172164917), P(13.074420928955078, 13.7072172164917), P(13.494367599487305, 13.7072172164917), P(14.687255859375, 13.7072172164917), P(15.59023380279541, 13.7072172164917), P(16.061115264892578, 13.7072172164917), P(16.802555084228516, 13.7072172164917), P(18.13921356201172, 13.7072172164917), P(18.679550170898438, 13.7072172164917), P(16.445556640625, 13.707218170166016), P(17.301631927490234, 13.707218170166016), P(11.136816024780273, 13.778284072875977), P(15.682319641113281, 13.792017936706543), P(12.11489200592041, 13.869482040405273)]"
logo_117,284,18,"[9, 9, 9, 31, 36, 36, 15, 17, 17, 13, 13, 13, 5, 5, 23, 9, 17, 7]",36,"[P(4.970569133758545, 9.573175430297852), P(10.132509231567383, 9.573175430297852), P(15.294449806213379, 9.573175430297852), P(11.214082717895508, 10.598037719726562), P(5.740626811981201, 11.222953796386719), P(16.060476303100586, 11.222953796386719), P(13.458406448364258, 13.556241989135742), P(8.459077835083008, 13.557854652404785), P(9.736595153808594, 13.557854652404785), P(6.989114284515381, 13.572368621826172), P(11.947051048278809, 13.572368621826172), P(14.400485038757324, 13.572368621826172), P(17.15118980407715, 13.572368621826172), P(18.090042114257812, 13.572368621826172), P(5.44980525970459, 13.572369575500488), P(10.672491073608398, 13.572369575500488), P(15.771535873413086, 13.572637557983398), P(18.21422004699707, 13.963445663452148)]"
logo_115,372,31,"[3, 15, 11, 7, 13, 13, 60, 15, 17, 5, 13, 13, 13, 13, 13, 13, 13, 11, 13, 13, 13, 12, 13, 5, 5, 11, 5, 5, 6, 5, 5]",60,"[P(15.60784912109375, 9.942883491516113), P(11.815078735351562, 10.655691146850586), P(14.512565612792969, 10.655959129333496), P(6.285983085632324, 10.711060523986816), P(8.682703971862793, 10.711060523986816), P(16.0798282623291, 10.711060523986816), P(4.380863189697266, 14.609460830688477), P(8.909286499023438, 14.984411239624023), P(11.254940032958984, 14.984679222106934), P(7.312458038330078, 14.98468017578125), P(9.765085220336914, 14.98468017578125), P(12.708775520324707, 14.98468017578125), P(14.465797424316406, 14.98468017578125), P(15.53742790222168, 14.98468017578125), P(16.60637092590332, 14.98468017578125), P(17.372127532958984, 14.98468017578125), P(6.470904350280762, 14.994087219238281), P(7.770461082458496, 14.994087219238281), P(10.14111042022705, 14.994087219238281), P(10.599113464355469, 14.994087219238281), P(12.014513969421387, 14.994087219238281), P(13.084800720214844, 14.994087219238281), P(13.61994457244873, 14.994087219238281), P(14.0752592086792, 14.994087219238281), P(14.992609024047852, 14.994087219238281), P(15.912647247314453, 14.994356155395508), P(8.907942771911621, 15.048111915588379), P(7.312458038330078, 15.05617618560791), P(13.17349910736084, 15.065851211547852), P(8.879182815551758, 15.234376907348633), P(8.177395820617676, 15.258566856384277)]"
logo_114,699,32,"[40, 36, 23, 24, 21, 59, 15, 19, 13, 22, 21, 5, 20, 20, 20, 20, 37, 15, 25, 25, 21, 19, 22, 21, 22, 18, 22, 21, 21, 5, 6, 21]",59,"[P(13.839512825012207, 4.361567497253418), P(11.9031982421875, 7.489614486694336), P(9.385558128356934, 8.715347290039062), P(15.941640853881836, 8.781763076782227), P(9.937478065490723, 10.028192520141602), P(11.356976509094238, 11.6899995803833), P(14.822964668273926, 14.892873764038086), P(11.655433654785156, 14.892901420593262), P(5.120288848876953, 14.971790313720703), P(8.055726051330566, 14.971790313720703), P(16.866710662841797, 14.971790313720703), P(6.189858436584473, 18.83995819091797), P(8.630276679992676, 18.839984893798828), P(12.420283317565918, 18.839984893798828), P(16.331430435180664, 18.839984893798828), P(18.668556213378906, 18.839984893798828), P(11.180574417114258, 18.848827362060547), P(16.820186614990234, 18.858829498291016), P(14.781920433044434, 18.85885238647461), P(17.6300048828125, 18.85885238647461), P(5.178991317749023, 18.858856201171875), P(6.737451076507568, 18.858856201171875), P(9.121236801147461, 18.858856201171875), P(9.765510559082031, 18.858856201171875), P(11.539454460144043, 18.858856201171875), P(12.914629936218262, 18.858856201171875), P(13.628922462463379, 18.858856201171875), P(14.22427749633789, 18.858882904052734), P(15.534971237182617, 18.858882904052734), P(6.18988561630249, 18.956558227539062), P(13.041253089904785, 18.975452423095703), P(7.668274879455566, 19.082077026367188)]"
logo_116,372,31,"[3, 15, 11, 7, 13, 13, 60, 15, 17, 5, 13, 13, 13, 13, 13, 13, 13, 11, 13, 13, 13, 12, 13, 5, 5, 11, 5, 5, 6, 5, 5]",60,"[P(10.601531982421875, 9.942883491516113), P(11.815078735351562, 10.655691146850586), P(14.512565612792969, 10.655959129333496), P(6.285983085632324, 10.711060523986816), P(8.682703971862793, 10.711060523986816), P(16.0798282623291, 10.711060523986816), P(4.380863189697266, 14.609460830688477), P(8.909286499023438, 14.984411239624023), P(11.254940032958984, 14.984679222106934), P(7.312458038330078, 14.98468017578125), P(9.764816284179688, 14.98468017578125), P(12.708775520324707, 14.98468017578125), P(14.465797424316406, 14.98468017578125), P(15.53742790222168, 14.98468017578125), P(16.60637092590332, 14.98468017578125), P(17.372127532958984, 14.98468017578125), P(6.470904350280762, 14.994087219238281), P(7.770461082458496, 14.994087219238281), P(10.14111042022705, 14.994087219238281), P(10.599113464355469, 14.994087219238281), P(12.014513969421387, 14.994087219238281), P(13.084800720214844, 14.994087219238281), P(13.61994457244873, 14.994087219238281), P(14.0752592086792, 14.994087219238281), P(14.992609024047852, 14.994087219238281), P(15.912647247314453, 14.994356155395508), P(8.907942771911621, 15.048111915588379), P(7.312458038330078, 15.05617618560791), P(13.17349910736084, 15.065851211547852), P(8.879182815551758, 15.234376907348633), P(8.177395820617676, 15.258566856384277)]"
logo_118,189,15,"[9, 14, 10, 14, 17, 17, 11, 17, 13, 13, 13, 13, 5, 14, 9]",17,"[P(5.146082401275635, 6.584061622619629), P(4.377906322479248, 8.86735725402832), P(8.327644348144531, 8.86735725402832), P(10.206961631774902, 8.86735725402832), P(8.224432945251465, 16.489181518554688), P(9.514581680297852, 16.489181518554688), P(13.481790542602539, 16.48971939086914), P(4.9845452308654785, 16.502351760864258), P(6.682703971862793, 16.502351760864258), P(11.818841934204102, 16.502351760864258), P(14.471442222595215, 16.502351760864258), P(15.903508186340332, 16.502351760864258), P(17.38718032836914, 16.502351760864258), P(18.38946533203125, 16.502351760864258), P(10.484881401062012, 16.50235366821289)]"
