id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_104_29,19,1,[19],19,"[P(17.877437591552734, 15.797606468200684)]"
logo_104_3,5,1,[5],5,"[P(18.09514808654785, 8.924875259399414)]"
logo_104_5,7,1,[7],7,"[P(4.380863189697266, 13.271872520446777)]"
logo_104_4,4,1,[4],4,"[P(17.523452758789062, 7.686601161956787)]"
logo_104_7,17,1,[17],17,"[P(8.437576293945312, 13.238811492919922)]"
logo_104_6,13,1,[13],13,"[P(5.940061569213867, 13.271872520446777)]"
logo_104_8,15,1,[15],15,"[P(10.543476104736328, 13.239081382751465)]"
logo_104_9,13,1,[13],13,"[P(11.604623794555664, 13.271872520446777)]"
logo_105_10,13,1,[13],13,"[P(9.765085220336914, 15.079961776733398)]"
logo_105_0,7,1,[7],7,"[P(6.322537422180176, 10.720333099365234)]"
logo_105_1,13,1,[13],13,"[P(8.599113464355469, 10.720333099365234)]"
logo_105_12,13,1,[13],13,"[P(10.599113464355469, 15.089369773864746)]"
logo_105_11,13,1,[13],13,"[P(10.14111042022705, 15.089369773864746)]"
logo_105_14,13,1,[13],13,"[P(12.014513969421387, 15.089369773864746)]"
logo_105_13,17,1,[17],17,"[P(11.254940032958984, 15.079692840576172)]"
logo_105_17,13,1,[13],13,"[P(13.61994457244873, 15.089369773864746)]"
logo_105_15,13,1,[13],13,"[P(12.708775520324707, 15.079961776733398)]"
logo_105_18,5,1,[5],5,"[P(14.0752592086792, 15.089369773864746)]"
logo_105_16,18,1,[18],18,"[P(13.084800720214844, 15.089369773864746)]"
logo_105_19,13,1,[13],13,"[P(14.465797424316406, 15.079961776733398)]"
logo_105_2,15,1,[15],15,"[P(11.641446113586426, 10.690498352050781)]"
logo_105_21,13,1,[13],13,"[P(15.53742790222168, 15.079961776733398)]"
logo_105_20,5,1,[5],5,"[P(14.992609024047852, 15.089369773864746)]"
logo_105_25,60,1,[60],60,"[P(4.380863189697266, 14.704744338989258)]"
logo_105_22,11,1,[11],11,"[P(15.912647247314453, 15.089369773864746)]"
logo_105_23,13,1,[13],13,"[P(16.60637092590332, 15.079961776733398)]"
logo_105_24,13,1,[13],13,"[P(17.372127532958984, 15.079961776733398)]"
logo_105_26,5,1,[5],5,"[P(13.210322380065918, 8.419029235839844)]"
logo_105_3,11,1,[11],11,"[P(14.299422264099121, 10.690498352050781)]"
logo_105_5,13,1,[13],13,"[P(6.470904350280762, 15.089369773864746)]"
logo_105_4,13,1,[13],13,"[P(15.830937385559082, 10.720333099365234)]"
logo_105_6,10,1,[10],10,"[P(7.312458038330078, 15.079693794250488)]"
logo_105_7,11,1,[11],11,"[P(7.770461082458496, 15.089369773864746)]"
logo_105_8,5,1,[5],5,"[P(8.177395820617676, 15.353850364685059)]"
logo_106_1,13,1,[13],13,"[P(10.510952949523926, 10.617524147033691)]"
logo_105_9,25,1,[25],25,"[P(8.909286499023438, 15.079693794250488)]"
logo_106_10,15,1,[15],15,"[P(11.61107349395752, 13.858487129211426)]"
logo_106_0,7,1,[7],7,"[P(8.763607025146484, 10.617524147033691)]"
logo_106_12,13,1,[13],13,"[P(12.400753021240234, 13.865474700927734)]"
logo_106_14,13,1,[13],13,"[P(13.600860595703125, 13.865474700927734)]"
logo_106_11,13,1,[13],13,"[P(11.949738502502441, 13.865474700927734)]"
logo_106_13,17,1,[17],17,"[P(12.885634422302246, 13.86547565460205)]"
logo_106_17,13,1,[13],13,"[P(15.090445518493652, 13.865474700927734)]"
logo_106_18,5,1,[5],5,"[P(15.541997909545898, 13.865474700927734)]"
logo_106_15,15,1,[15],15,"[P(14.263136863708496, 13.858487129211426)]"
logo_106_16,20,1,[20],20,"[P(14.598037719726562, 13.865474700927734)]"
logo_106_19,13,1,[13],13,"[P(15.84249496459961, 13.865474700927734)]"
logo_106_2,13,1,[13],13,"[P(13.40626335144043, 10.585001945495605)]"
logo_106_20,5,1,[5],5,"[P(16.394033432006836, 13.865474700927734)]"
logo_106_21,15,1,[15],15,"[P(16.906599044799805, 13.858487129211426)]"
logo_106_22,11,1,[11],11,"[P(17.241500854492188, 13.865474700927734)]"
logo_106_23,13,1,[13],13,"[P(17.770193099975586, 13.865474700927734)]"
logo_106_24,15,1,[15],15,"[P(18.532726287841797, 13.858487129211426)]"
logo_106_26,5,1,[5],5,"[P(4.380863189697266, 9.659050941467285)]"
logo_106_27,5,1,[5],5,"[P(19.428573608398438, 9.659050941467285)]"
logo_106_25,5,1,[5],5,"[P(4.380863189697266, 9.659050941467285)]"
logo_106_3,11,1,[11],11,"[P(15.765623092651367, 10.585001945495605)]"
logo_106_5,13,1,[13],13,"[P(8.774895668029785, 13.865474700927734)]"
logo_106_6,10,1,[10],10,"[P(9.468351364135742, 13.858755111694336)]"
logo_106_7,11,1,[11],11,"[P(9.850558280944824, 13.865474700927734)]"
logo_106_4,13,1,[13],13,"[P(17.012229919433594, 10.617524147033691)]"
logo_106_8,5,1,[5],5,"[P(10.209381103515625, 14.109259605407715)]"
logo_107_1,13,1,[13],13,"[P(10.720333099365234, 11.496707916259766)]"
logo_107_10,13,1,[13],13,"[P(11.933073997497559, 13.914393424987793)]"
logo_106_9,25,1,[25],25,"[P(10.850423812866211, 13.8582181930542)]"
logo_107_0,7,1,[7],7,"[P(8.690767288208008, 11.496707916259766)]"
logo_107_12,17,1,[17],17,"[P(13.007660865783691, 13.914393424987793)]"
logo_107_13,13,1,[13],13,"[P(13.799489974975586, 13.914393424987793)]"
logo_107_11,13,1,[13],13,"[P(12.452628135681152, 13.914393424987793)]"
logo_107_14,15,1,[15],15,"[P(14.555570602416992, 13.906061172485352)]"
logo_107_16,13,1,[13],13,"[P(15.512432098388672, 13.914393424987793)]"
logo_107_17,5,1,[5],5,"[P(16.03252410888672, 13.914393424987793)]"
logo_107_15,19,1,[19],19,"[P(14.941539764404297, 13.914393424987793)]"
logo_107_18,13,1,[13],13,"[P(16.39618492126465, 13.914393424987793)]"
logo_107_19,5,1,[5],5,"[P(17.020294189453125, 13.914393424987793)]"
logo_107_2,13,1,[13],13,"[P(13.880929946899414, 11.46337890625)]"
logo_107_20,15,1,[15],15,"[P(17.622364044189453, 13.906061172485352)]"
logo_107_21,11,1,[11],11,"[P(18.003225326538086, 13.914393424987793)]"
logo_107_22,13,1,[13],13,"[P(18.60260772705078, 13.914393424987793)]"
logo_107_23,15,1,[15],15,"[P(19.463245391845703, 13.906061172485352)]"
logo_107_24,3,1,[3],3,"[P(7.583389759063721, 11.028759956359863)]"
logo_107_25,5,1,[5],5,"[P(5.002285003662109, 11.411234855651855)]"
logo_107_3,11,1,[11],11,"[P(16.496707916259766, 11.46337890625)]"
logo_107_26,5,1,[5],5,"[P(4.380863189697266, 13.89665412902832)]"
logo_107_4,13,1,[13],13,"[P(17.981992721557617, 11.496707916259766)]"
logo_107_5,13,1,[13],13,"[P(8.75151252746582, 13.914393424987793)]"
logo_107_7,11,1,[11],11,"[P(9.98279857635498, 13.914393424987793)]"
logo_107_6,10,1,[10],10,"[P(9.538772583007812, 13.906061172485352)]"
logo_107_8,13,1,[13],13,"[P(10.731353759765625, 14.046902656555176)]"
logo_108_0,7,1,[7],7,"[P(8.690767288208008, 11.46405029296875)]"
logo_107_9,15,1,[15],15,"[P(11.547104835510254, 13.906061172485352)]"
logo_108_12,17,1,[17],17,"[P(13.007660865783691, 13.863727569580078)]"
logo_108_10,13,1,[13],13,"[P(11.933073997497559, 13.863727569580078)]"
logo_108_1,13,1,[13],13,"[P(10.720333099365234, 11.46405029296875)]"
logo_108_11,13,1,[13],13,"[P(12.452628135681152, 13.863728523254395)]"
logo_108_14,15,1,[15],15,"[P(14.555570602416992, 13.855396270751953)]"
logo_108_13,13,1,[13],13,"[P(13.799489974975586, 13.863727569580078)]"
logo_108_16,13,1,[13],13,"[P(15.512432098388672, 13.863727569580078)]"
logo_108_15,19,1,[19],19,"[P(14.941539764404297, 13.863727569580078)]"
logo_108_17,5,1,[5],5,"[P(16.03252410888672, 13.863727569580078)]"
logo_108_19,5,1,[5],5,"[P(17.020294189453125, 13.863727569580078)]"
logo_108_18,13,1,[13],13,"[P(16.39618492126465, 13.863727569580078)]"
logo_108_2,13,1,[13],13,"[P(13.880929946899414, 11.430721282958984)]"
logo_108_20,15,1,[15],15,"[P(17.622364044189453, 13.855396270751953)]"
logo_108_22,13,1,[13],13,"[P(18.60260772705078, 13.863727569580078)]"
logo_108_25,3,1,[3],3,"[P(7.822336196899414, 10.996371269226074)]"
logo_108_26,28,1,[28],28,"[P(4.380863189697266, 14.291627883911133)]"
logo_108_23,15,1,[15],15,"[P(19.463245391845703, 13.855396270751953)]"
logo_108_21,11,1,[11],11,"[P(18.003225326538086, 13.863727569580078)]"
logo_108_3,11,1,[11],11,"[P(16.496707916259766, 11.430990219116211)]"
logo_108_24,10,1,[10],10,"[P(5.2412309646606445, 11.378578186035156)]"
logo_108_5,13,1,[13],13,"[P(8.75151252746582, 13.863728523254395)]"
logo_108_4,13,1,[13],13,"[P(17.981992721557617, 11.46405029296875)]"
logo_108_6,10,1,[10],10,"[P(9.538772583007812, 13.855396270751953)]"
logo_108_7,11,1,[11],11,"[P(9.98279857635498, 13.863727569580078)]"
logo_108_9,15,1,[15],15,"[P(11.547104835510254, 13.855396270751953)]"
logo_108_8,13,1,[13],13,"[P(10.731353759765625, 13.996236801147461)]"
logo_109_0,5,1,[5],5,"[P(7.614030838012695, 12.491063117980957)]"
logo_109_1,5,1,[5],5,"[P(6.85633659362793, 13.448192596435547)]"
logo_109_11,16,1,[16],16,"[P(11.560543060302734, 15.183175086975098)]"
logo_109_10,13,1,[13],13,"[P(10.938045501708984, 15.189088821411133)]"
logo_109_12,11,1,[11],11,"[P(11.8841552734375, 15.1890869140625)]"
logo_109_13,5,1,[5],5,"[P(12.227120399475098, 15.409757614135742)]"
logo_109_15,19,1,[19],19,"[P(13.41970157623291, 15.18237018585205)]"
logo_109_16,13,1,[13],13,"[P(13.72073745727539, 15.1890869140625)]"
logo_109_14,13,1,[13],13,"[P(12.761994361877441, 15.260852813720703)]"
logo_109_17,13,1,[13],13,"[P(14.119876861572266, 15.189088821411133)]"
logo_109_18,20,1,[20],20,"[P(14.546701431274414, 15.189088821411133)]"
logo_109_2,5,1,[5],5,"[P(7.333423137664795, 10.959817886352539)]"
logo_109_19,13,1,[13],13,"[P(15.18559455871582, 15.1890869140625)]"
logo_109_20,19,1,[19],19,"[P(15.747346878051758, 15.18237018585205)]"
logo_109_21,21,1,[21],21,"[P(16.048917770385742, 15.1890869140625)]"
logo_109_23,5,1,[5],5,"[P(16.889129638671875, 15.189088821411133)]"
logo_109_24,15,1,[15],15,"[P(17.24714469909668, 15.189088821411133)]"
logo_109_22,13,1,[13],13,"[P(16.49052619934082, 15.1890869140625)]"
logo_109_25,5,1,[5],5,"[P(17.621557235717773, 15.189088821411133)]"
logo_109_27,15,1,[15],15,"[P(18.43408203125, 15.189088821411133)]"
logo_109_26,19,1,[19],19,"[P(18.048381805419922, 15.18237018585205)]"
logo_109_28,15,1,[15],15,"[P(18.917888641357422, 15.189088821411133)]"
logo_109_29,19,1,[19],19,"[P(19.45545196533203, 15.18237018585205)]"
logo_109_3,5,1,[5],5,"[P(8.577879905700684, 9.524526596069336)]"
logo_109_4,4,1,[4],4,"[P(8.003763198852539, 8.280339241027832)]"
logo_109_5,7,1,[7],7,"[P(10.86547565460205, 12.743717193603516)]"
logo_109_8,15,1,[15],15,"[P(17.184518814086914, 12.710658073425293)]"
logo_109_7,17,1,[17],17,"[P(15.062490463256836, 12.710926055908203)]"
logo_109_6,13,1,[13],13,"[P(12.547508239746094, 12.743717193603516)]"
logo_109_9,13,1,[13],13,"[P(18.256149291992188, 12.743717193603516)]"
logo_10_1,6,1,[6],6,"[P(6.176320552825928, 12.692245483398438)]"
logo_10_0,11,1,[11],11,"[P(5.903238773345947, 10.45088005065918)]"
logo_10_2,6,1,[6],6,"[P(6.18169641494751, 11.90176010131836)]"
logo_10_3,13,1,[13],13,"[P(7.856202125549316, 11.638355255126953)]"
logo_10_4,11,1,[11],11,"[P(10.337051391601562, 11.600994110107422)]"
logo_10_5,14,1,[14],14,"[P(12.530304908752441, 11.600725173950195)]"
logo_10_6,21,1,[21],21,"[P(14.242441177368164, 11.638355255126953)]"
logo_10_7,14,1,[14],14,"[P(16.639968872070312, 11.63862419128418)]"
logo_10_8,11,1,[11],11,"[P(18.104825973510742, 11.63862419128418)]"
logo_110_0,7,1,[7],7,"[P(9.151742935180664, 10.658865928649902)]"
logo_110_10,19,1,[19],19,"[P(12.14284610748291, 13.184191703796387)]"
logo_10_9,5,1,[5],5,"[P(13.439322471618652, 13.167987823486328)]"
logo_110_1,13,1,[13],13,"[P(11.260456085205078, 10.658865928649902)]"
logo_110_11,13,1,[13],13,"[P(12.775534629821777, 13.19099235534668)]"
logo_110_13,20,1,[20],20,"[P(13.532562255859375, 13.190937995910645)]"
logo_110_12,13,1,[13],13,"[P(13.016929626464844, 13.19099235534668)]"
logo_110_15,19,1,[19],19,"[P(14.91623306274414, 13.184191703796387)]"
logo_110_14,13,1,[13],13,"[P(14.508864402770996, 13.19099235534668)]"
logo_110_16,21,1,[21],21,"[P(15.30373764038086, 13.19099235534668)]"
logo_110_18,5,1,[5],5,"[P(16.32081413269043, 13.19099235534668)]"
logo_110_19,15,1,[15],15,"[P(16.765918731689453, 13.19099235534668)]"
logo_110_17,13,1,[13],13,"[P(16.07942008972168, 13.19099235534668)]"
logo_110_2,17,1,[17],17,"[P(14.199307441711426, 10.62593936920166)]"
logo_110_21,19,1,[19],19,"[P(17.742813110351562, 13.184191703796387)]"
logo_110_22,15,1,[15],15,"[P(18.127817153930664, 13.19096565246582)]"
logo_110_20,5,1,[5],5,"[P(17.22774314880371, 13.19099235534668)]"
logo_110_23,15,1,[15],15,"[P(18.789588928222656, 13.19099235534668)]"
logo_110_26,4,1,[4],4,"[P(8.679948806762695, 7.975009918212891)]"
logo_110_24,19,1,[19],19,"[P(19.417329788208008, 13.184191703796387)]"
logo_110_27,4,1,[4],4,"[P(11.845624923706055, 7.727165222167969)]"
logo_110_25,4,1,[4],4,"[P(6.931485652923584, 14.214922904968262)]"
logo_110_28,4,1,[4],4,"[P(14.592241287231445, 7.59844446182251)]"
logo_110_29,4,1,[4],4,"[P(8.25209903717041, 9.54215145111084)]"
logo_110_30,4,1,[4],4,"[P(6.2245049476623535, 11.70069694519043)]"
logo_110_3,15,1,[15],15,"[P(16.74626922607422, 10.625993728637695)]"
logo_110_31,4,1,[4],4,"[P(16.329200744628906, 7.962242603302002)]"
logo_110_4,13,1,[13],13,"[P(18.24691390991211, 10.658865928649902)]"
logo_110_5,13,1,[13],13,"[P(9.225255966186523, 13.19099235534668)]"
logo_110_6,16,1,[16],16,"[P(9.939627647399902, 13.185428619384766)]"
logo_110_8,5,1,[5],5,"[P(10.779684066772461, 13.415776252746582)]"
logo_110_7,11,1,[11],11,"[P(10.58349895477295, 13.19099235534668)]"
logo_110_9,13,1,[13],13,"[P(11.39871883392334, 13.26407527923584)]"
logo_111_0,7,1,[7],7,"[P(9.150938034057617, 10.704290390014648)]"
logo_111_10,15,1,[15],15,"[P(12.15260124206543, 13.199432373046875)]"
logo_111_1,13,1,[13],13,"[P(11.075748443603516, 10.704290390014648)]"
logo_111_12,13,1,[13],13,"[P(12.99698543548584, 13.206313133239746)]"
logo_111_11,13,1,[13],13,"[P(12.517637252807617, 13.206313133239746)]"
logo_111_14,13,1,[13],13,"[P(14.259675979614258, 13.206313133239746)]"
logo_111_13,17,1,[17],17,"[P(13.511248588562012, 13.206313133239746)]"
logo_111_16,20,1,[20],20,"[P(15.315536499023438, 13.206313133239746)]"
logo_111_15,15,1,[15],15,"[P(14.954668998718262, 13.199432373046875)]"
logo_111_18,5,1,[5],5,"[P(16.317399978637695, 13.206313133239746)]"
logo_111_17,13,1,[13],13,"[P(15.837380409240723, 13.206313133239746)]"
logo_111_2,13,1,[13],13,"[P(14.120769500732422, 10.671337127685547)]"
logo_111_20,5,1,[5],5,"[P(17.22537612915039, 13.206313133239746)]"
logo_111_19,13,1,[13],13,"[P(16.643352508544922, 13.206313133239746)]"
logo_111_21,15,1,[15],15,"[P(17.767675399780273, 13.199432373046875)]"
logo_111_22,11,1,[11],11,"[P(18.128570556640625, 13.206313133239746)]"
logo_111_23,13,1,[13],13,"[P(18.68731689453125, 13.206313133239746)]"
logo_111_24,15,1,[15],15,"[P(19.48434066772461, 13.199432373046875)]"
logo_111_25,4,1,[4],4,"[P(6.925652980804443, 14.22309398651123)]"
logo_111_26,4,1,[4],4,"[P(8.678630828857422, 7.981326580047607)]"
logo_111_28,4,1,[4],4,"[P(14.707630157470703, 7.584682941436768)]"
logo_111_27,4,1,[4],4,"[P(11.953863143920898, 7.701307773590088)]"
logo_111_3,11,1,[11],11,"[P(16.624942779541016, 10.671337127685547)]"
logo_111_30,4,1,[4],4,"[P(6.216844081878662, 11.702363014221191)]"
logo_111_29,4,1,[4],4,"[P(8.249706268310547, 9.53817367553711)]"
logo_111_31,4,1,[4],4,"[P(16.347745895385742, 7.938455581665039)]"
logo_111_4,13,1,[13],13,"[P(18.005950927734375, 10.704290390014648)]"
logo_111_6,10,1,[10],10,"[P(9.926458358764648, 13.199459075927734)]"
logo_111_5,13,1,[13],13,"[P(9.200016975402832, 13.206313133239746)]"
logo_111_7,11,1,[11],11,"[P(10.336030006408691, 13.206313133239746)]"
logo_111_8,5,1,[5],5,"[P(10.768098831176758, 13.454830169677734)]"
logo_112_0,13,1,[13],13,"[P(10.458406448364258, 10.880987167358398)]"
